product_id,dist_center_id,currency,base_price,suggested_markup,amount_for_price,updated_cost,last_month_base_price,last_month_fob_net,product_anayst,lead_time,min_order_quantity,source_adjustment,competition_adjustment,commentary,on_demand,frac_emb
5416,8,usd,2419.839886,0.2,1000,TRUE,2420.596202,2904.715443,ADRIANO,0,0,,,Repassar,REGULAR,TRUE
5417,9,usd,2342.74911,0.2,1000,TRUE,2343.014402,2811.617282,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
5409,8,usd,29255.73011,0.2,1000,TRUE,29255.73011,35106.87614,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
1587,8,usd,2162.82784,0.15,1000,TRUE,2162.82784,2487.252016,ADRIANO,0,0,,,Repassar,CONTRA PEDIDO,FALSE
1539,8,usd,2155.490543,0.12,1000,TRUE,2124.29057,2379.205439,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
1542,8,usd,2355.282307,0.3,1000,TRUE,2369.63988,3080.531844,MARCELA,120,908,,,Seguir pol??tica,CONTRA PEDIDO,FALSE
1540,8,usd,131502.548,0.4,1000,FALSE,131502.548,184103.5672,MARCELA,120,16,,,Seguir pol??tica,CONTRA PEDIDO,FALSE
1361,8,usd,2997.604683,0.08,1000,TRUE,2997.604683,3237.413057,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
1360,8,usd,3349.21068,0.08,1000,TRUE,3291.56026,3554.885081,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
1361,4,usd,3102.425672,0.08,1000,TRUE,3103.093322,3351.340787,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
5478,8,usd,895.3511084,0.03,1000,TRUE,895.3511084,922.2116417,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
5478,9,usd,925.401301,0.02,1000,TRUE,925.5927035,944.1045575,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
127,7,usd,1267.610136,0.03,1000,TRUE,1352.941176,1380,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
127,8,usd,1336.863442,0.03,1000,TRUE,1392.156863,1420,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
128,8,usd,1510.591271,0.07,1000,TRUE,1493.155019,1597.675871,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
133,8,usd,1492.632354,0.07,1000,TRUE,1475.081715,1578.337435,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
127,4,usd,1420.614473,0.02,1000,TRUE,1403.066428,1431.127757,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
128,4,usd,1510.591271,0.07,1000,TRUE,1493.155019,1597.675871,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
133,4,usd,1492.632354,0.07,1000,TRUE,1475.081715,1578.337435,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
127,3,usd,1369.745624,0.02,1000,TRUE,1351.585237,1378.616942,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
133,3,usd,1525.707961,0.07,1000,TRUE,1508.382818,1613.969616,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
127,1,usd,1483.120475,0.02,1000,TRUE,1466.967959,1496.307319,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
133,1,usd,1561.328018,0.07,1000,TRUE,1545.468104,1653.650871,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
133,2,usd,1565.300429,0.07,1000,TRUE,1549.488333,1657.952516,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
134,2,usd,1565.300429,0.07,1000,TRUE,1549.488333,1657.952516,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
130,8,usd,1336.863442,0.03,1000,TRUE,1318.478877,1344.848454,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
129,8,usd,1510.591271,0.07,1000,TRUE,1493.155019,1597.675871,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
134,8,usd,1492.632354,0.07,1000,TRUE,1475.081715,1578.337435,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
130,4,usd,1420.614473,0.02,1000,TRUE,1378.663221,1406.236485,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
134,4,usd,1492.632354,0.07,1000,TRUE,1581.175179,1691.857442,MARCELA,0,0,,,Seguir pol??tica,REGULAR,TRUE
130,3,usd,1372.519102,0.2,1000,TRUE,1354.392101,1625.270522,MARCELA,0,0,,,Seguir pol??tica,REGULAR,FALSE
1086,7,usd,1979.945887,0.25,1000,TRUE,1950.835821,2438.544776,MARCELA,70,20000,,,Seguir pol??tica,CONTRA PEDIDO,FALSE
1094,8,usd,2171.304348,0.12,1000,TRUE,2312.167124,2427.77548,MARCELA,70,0,,,Material com cota - seguir pol??tica,REGULAR,FALSE
1089,8,usd,2171.304348,0.12,1000,TRUE,2311.186336,2426.745653,MARCELA,70,0,,,Material com cota - seguir pol??tica,REGULAR,FALSE
1090,8,usd,2171.428571,0.12,1000,TRUE,2311.677178,2427.261037,MARCELA,70,0,,,Material com cota - seguir pol??tica,REGULAR,FALSE
1092,8,usd,2171.001666,0.12,1000,TRUE,2305.329404,2420.595874,MARCELA,70,0,,,Material com cota - seguir pol??tica,REGULAR,TRUE
1089,4,usd,2423.83764,0.05,1000,FALSE,2438.095238,2560,MARCELA,70,0,,,Material com cota - seguir pol??tica,REGULAR,FALSE
