Municipio,Itinerario
PLANALTO,SP 3960
PLATINA,SP 3970
POA,SP 3980
POCOS DE CALDAS,MG 5180
POJUCA,BA 2520
POMERODE,SC 1320
POMPEIA,SP 4000
POMPEU,MG 5200
PONTA GROSSA,PR 1990
PONTA PORA,MS 0660
PONTAL,SP 4020
PONTE SERRADA,SC 1340
PORANGATU,GO 1800
PORECATU,PR 2000
PORTAO,RS 1480
PORTO ALEGRE,RS 1490
PORTO ALEGRE DO NORTE,MT 0677
PORTO BELO,SC 1350
PORTO FELIZ,SP 4060
PORTO FERREIRA,SP 4070
PORTO FRANCO,MA 0900
PORTO NACIONAL,TO 1820
PORTO REAL,RJ 0411
PORTO VELHO,RO 0020
POUSO ALEGRE,MG 5250
PRADOPOLIS,SP 4090
PRAIA GRANDE (SP),SP 4100
PRAIA GRANDE (SC),SC 1380
PRATA,MG 5280
PRESIDENTE DUTRA,MA 0910
PRESIDENTE EPITACIO,SP 4130
PRESIDENTE PRUDENTE,SP 4140
PRESIDENTE VENCESLAU,SP 4150
PRIMAVERA,PE 1140
PRIMAVERA DO LESTE,MT 0704
QUATRO BARRAS,PR 2080
QUATRO PONTES,PR 2085
QUEIMADAS,PB 1250
QUEIMADOS,RJ 0414
QUINTANA,SP 4200
QUIRINOPOLIS,GO 1850
QUIXADA,CE 1130
RAFARD,SP 4210
RANCHARIA,SP 4220
RECIFE,PE 1160
REGISTRO,SP 4260
RESENDE,RJ 0420
RESTINGA,SP 4270
RIBEIRAO,PE 1180
RIBEIRAO BONITO,SP 4290
RIBEIRAO CLARO,PR 2180
RIBEIRAO DAS NEVES,MG 5460
RIBEIRAO PIRES,SP 4330
RIBEIRAO PRETO,SP 4340
RINCAO,SP 4370
RIO BONITO,RJ 0430
RIO BRANCO,AC 0040
RIO BRILHANTE,MS 0720
RIO CLARO (SP),SP 4390
RIO CLARO (RJ),RJ 0440
RIO DAS PEDRAS,SP 4400
RIO DE JANEIRO,RJ 0455
RIO FORMOSO,PE 1190
RIO GRANDE,RS 1560
RIO GRANDE DA SERRA,SP 4410
RIO LARGO,AL 0770
RIO NEGRINHO,SC 1500
RIO NEGRO,PR 2230
RIO TINTO,PB 1290
RIO VERDE,GO 1880
ROCA SALES,RS 1580
ROLANDIA,PR 2240
ROLANTE,RS 1600
ROLIM DE MOURA,RO 0028
RONDON,PR 2260
RONDONOPOLIS,MT 0760
ROSARIO DO SUL,RS 1640
ROSEIRA,SP 4430
RUBIATABA,GO 1890
SABARA,MG 5670
SALESOPOLIS,SP 4500
SALTINHO,SP 4515
SALTO,SP 4520
SALTO DE PIRAPORA,SP 4530
SALVADOR,BA 2740
SANGAO,SC 1545
SANTA ALBERTINA,SP 4570
