SKU,Nome Produto,Unidade,IPI,Peso Especifico,Resolu??o 13,Origem,NCM
66103004-56,Produto 1526,kg,0,1,FALSE,0,2933.29.99
66103004-53,Produto 1527,kg,0,1,FALSE,0,2933.29.99
66103004-51,Produto 1528,kg,0,1,FALSE,7,2933.29.99
66103004-221,Produto 1529,kg,0,1,FALSE,0,2933.29.99
66103004-1,Produto 1530,kg,0,1,FALSE,0,2933.29.99
66103004-28,Produto 1531,kg,0,1,FALSE,0,2933.29.99
84860001-217,Produto 1532,kg,0,1.065076153,FALSE,0,2830.90.19
64060139-52,Produto 1533,kg,0,0.9500285,TRUE,1,2924.19.22
64060139-1,Produto 1534,kg,0,0.950028501,TRUE,1,2924.19.22
64060139-182,Produto 1535,kg,0,0.950028501,TRUE,1,2924.19.22
64060139-482,Produto 1536,kg,0,0.950028501,TRUE,1,2924.19.22
64060139-10,Produto 1537,kg,0,0.95,TRUE,1,2924.19.22
64060109-508,Produto 1538,kg,0,0.847026935,FALSE,0,2930.90.91
64060118-147,Produto 1539,kg,0,1.100110011,FALSE,6,2930.90.99
64060160-688,Produto 1540,kg,0,1.1,TRUE,1,2930.90.99
64060160-686,Produto 1541,kg,0,1.1,TRUE,1,2930.90.99
64060148-147,Produto 1542,kg,0,1.100110011,FALSE,6,2930.90.99
64060112-89,Produto 1543,kg,0,1,FALSE,0,2917.37.00
64060112-88,Produto 1544,kg,0,1,FALSE,0,2917.37.00
66125031-40,Produto 1545,kg,0.05,0.994134606,TRUE,1,3906.90.29
66125031-36,Produto 1546,kg,0.05,1,TRUE,1,3906.90.29
66125030-40,Produto 1547,kg,0.05,0.994134606,TRUE,1,3906.90.29
66125030-36,Produto 1548,kg,0.05,1,TRUE,1,3906.90.29
66125032-39,Produto 1549,kg,0.05,0.994134606,TRUE,1,3906.90.29
77112013-41,Produto 1550,kg,0,1,TRUE,1,2915.39.99
77112013-10,Produto 1551,kg,0,1,TRUE,1,2915.39.99
66112093-174,Produto 1552,kg,0,1,TRUE,1,2915.39.99
66112093-1,Produto 1553,kg,0,1,TRUE,1,2915.39.99
66112093-10,Produto 1554,kg,0,1,TRUE,1,2915.39.99
64060137-1,Produto 1555,kg,0,1,TRUE,2,2909.49.32
64060137-116,Produto 1556,kg,0,1,TRUE,2,2909.49.32
64060137-519,Produto 1557,kg,0,1,TRUE,2,2909.49.32
64060136-1,Produto 1558,kg,0,1,TRUE,2,2909.49.32
64060136-280,Produto 1559,kg,0,1,TRUE,2,2909.49.32
64060136-116,Produto 1560,kg,0,1,TRUE,2,2909.49.32
64060136-15,Produto 1561,kg,0,1,TRUE,2,2909.49.32
64060121-1,Produto 1562,kg,0,1,FALSE,0,2909.49.32
64060121-482,Produto 1563,kg,0,1,FALSE,0,2909.49.32
66610002-36,Produto 1564,kg,0,1,TRUE,1,3808.99.99
74146006-453,Produto 1565,kg,0.1,1,TRUE,2,3824.99.59
74146001-37,Produto 1566,kg,0,1,FALSE,0,2918.15.00
74146001-447,Produto 1567,kg,0,1,FALSE,0,2918.15.00
74146001-46,Produto 1568,kg,0,1,TRUE,2,2918.15.00
74146001-1,Produto 1569,kg,0,1,FALSE,0,2918.15.00
74111017-411,Produto 1570,kg,0.1,1,TRUE,2,3824.90.89
74111005-63,Produto 1571,kg,0,1,TRUE,2,2906.19.50
74111005-340,Produto 1572,kg,0,1,FALSE,0,2906.19.50
74111005-37,Produto 1573,kg,0,1,TRUE,2,2906.19.50
74111005-53,Produto 1574,kg,0,1,TRUE,2,2906.19.50
74111006-447,Produto 1575,kg,0,1,FALSE,7,2933.29.99
74111006-468,Produto 1576,kg,0,1,FALSE,7,2933.29.99
74146005-37,Produto 1577,kg,0,1,FALSE,7,2915.90.90
74146005-468,Produto 1578,kg,0,1,FALSE,7,2915.90.90
74146005-41,Produto 1579,kg,0,1,FALSE,7,2915.90.90
74146005-53,Produto 1580,kg,0,1,FALSE,7,2915.90.90
74950008-37,Produto 1581,kg,0,1,FALSE,7,2915.90.90
74950008-447,Produto 1582,kg,0,1,FALSE,7,2915.90.90
74950008-468,Produto 1583,kg,0,1,FALSE,7,2915.90.90
74950008-1,Produto 1584,kg,0,1,FALSE,7,2915.90.90
66740039-10,Produto 1585,kg,0.08,1,TRUE,2,3811.29.90
61108230-93,Produto 1586,kg,0.05,1,FALSE,6,4005.10.10
81510099-10,Produto 1587,kg,0.05,1,FALSE,0,3910.00.12
64100190-484,Produto 1588,kg,0,1,FALSE,0,3202.10.00
66810012-10,Produto 1589,kg,0.05,1,FALSE,0,3910.00.12
71480006-538,Produto 1590,kg,0.1,0.896539358,FALSE,0,3814.00.90
71480006-477,Produto 1591,kg,0.1,0.896539358,FALSE,0,3814.00.90
71480006-1,Produto 1592,kg,0.1,0.896539358,FALSE,0,3814.00.90
71480006-200,Produto 1593,kg,0.1,0.896539358,FALSE,0,3814.00.90
71480006-201,Produto 1594,kg,0.1,0.896539358,FALSE,0,3814.00.90
71480006-509,Produto 1595,kg,0.1,0.896539358,FALSE,0,3814.00.90
71480006-10,Produto 1596,kg,0.1,0.896539358,FALSE,0,3814.00.90
71480006-482,Produto 1597,kg,0.1,0.896539358,FALSE,5,3814.00.90
66560003-15,Produto 1598,kg,0.1,1,TRUE,1,3824.90.89
64060163-73,Produto 1599,kg,0.05,0.996015936,TRUE,2,3402.19.00
64060163-41,Produto 1600,kg,0.05,0.996015936,TRUE,2,3402.19.00
64060163-52,Produto 1601,kg,0.05,0.996015936,TRUE,2,3402.19.00
64060163-51,Produto 1602,kg,0.05,0.996015936,TRUE,2,3402.19.00
62110056-68,Produto 1603,kg,0.05,1,TRUE,1,3912.90.40
66740018-23,Produto 1604,kg,0.08,1,FALSE,0,3811.21.20
66740010-9,Produto 1605,kg,0.08,1,TRUE,1,3811.29.10
66740019-17,Produto 1606,kg,0.08,1,FALSE,0,3811.29.90
66740007-2,Produto 1607,kg,0.08,1,TRUE,1,3811.29.90
66740013-10,Produto 1608,kg,0.08,1,TRUE,1,3811.29.90
66740011-4,Produto 1609,kg,0.08,1,FALSE,0,3811.21.90
66740016-10,Produto 1610,kg,0.08,1,FALSE,0,3811.21.90
66740006-9,Produto 1611,kg,0.08,1,FALSE,0,3811.90.90
66740008-9,Produto 1612,kg,0.08,1,FALSE,0,3811.29.90
66740015-10,Produto 1613,kg,0.08,1,TRUE,1,3811.29.90
66104027-468,Produto 1614,kg,0,1,FALSE,0,2922.42.20
66104017-468,Produto 1615,kg,0,1,TRUE,2,2922.42.20
66104017-53,Produto 1616,kg,0,1,TRUE,2,2922.42.20
66104017-1,Produto 1617,kg,0,1,TRUE,2,2922.42.20
74140119-468,Produto 1618,kg,0,1,TRUE,1,1302.19.99
35080040-145,Produto 1619,kg,0,0.777000777,FALSE,0,2710.19.91
35080038-145,Produto 1620,kg,0,0.854043898,FALSE,0,2710.19.91
35080036-486,Produto 1621,kg,0,0.857044909,FALSE,0,2710.19.91
35080036-145,Produto 1622,kg,0,0.857044909,FALSE,0,2710.19.91
35080024-145,Produto 1623,kg,0,0.860511144,FALSE,0,2710.19.91
35080025-145,Produto 1624,kg,0,0.865051903,FALSE,0,2710.19.91
35080029-485,Produto 1625,kg,0,0.824538259,FALSE,0,2710.19.91
35080029-145,Produto 1626,kg,0,0.824538259,FALSE,0,2710.19.91
35080026-51,Produto 1627,kg,0,0.848536275,FALSE,0,2710.19.91
35080026-221,Produto 1628,kg,0,0.848536275,FALSE,0,2710.19.91
