chave,CD,sku,id_prod,id_dc,moeda,preco,politica,por,atualizado,pp mes anterior,fob net anterior,analista,lead team,q min,reajuste,reajuste,coment,apoio sobre demanda,frac/FALSE
66112000-116SC04,SC04,66112000-116,292,5,USD,"6,265.05",0.3,1000,TRUE,"6,309.13","8,201.87",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112000-116SP13,SP13,66112000-116,292,1,USD,"6,574.81",0.3,1000,TRUE,"6,655.50","8,652.15",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112000-41SP13,SP13,66112000-41,288,1,USD,"6,991.52",0.4,1000,TRUE,"7,117.33","9,964.27",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
66112003-10SC04,SC04,66112003-10,278,5,USD,"8,613.00",0.1,1000,TRUE,"8,842.73","9,727.01",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112003-10SP13,SP13,66112003-10,278,1,USD,"9,019.82",0.1,1000,TRUE,"9,287.62","10,216.38",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112003-41SP13,SP13,66112003-41,276,1,USD,"9,266.50",0.15,1000,TRUE,"9,716.85","11,174.37",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
66112004-10SC04,SC04,66112004-10,282,5,USD,"6,843.85",0.2,1000,TRUE,"6,844.24","8,213.09",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112004-10SP13,SP13,66112004-10,282,1,USD,"7,226.73",0.2,1000,TRUE,"7,271.00","8,725.21",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112004-41SP13,SP13,66112004-41,280,1,USD,"9,039.57",0.3,1000,TRUE,"9,304.38","12,095.69",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
66112004-696SP13,SP13,66112004-696,279,1,USD,"7,645.11",0.3,1000,TRUE,"7,736.93","10,058.01",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
66112005-10SC04,SC04,66112005-10,270,5,USD,"6,734.64",0.3,1000,TRUE,"6,735.04","8,755.55",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112005-10SP13,SP13,66112005-10,270,1,USD,"6,980.07",0.3,1000,TRUE,"7,031.59","9,141.07",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112005-41SP13,SP13,66112005-41,267,1,USD,"7,910.21",0.4,1000,TRUE,"7,959.73","11,143.62",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
66112066-10SC04,SC04,66112066-10,285,5,USD,"4,725.23",0.2,1000,TRUE,"4,725.63","5,670.75",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112066-10SP13,SP13,66112066-10,285,1,USD,"4,915.76",0.2,1000,TRUE,"4,977.02","5,972.43",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112066-41SP13,SP13,66112066-41,283,1,USD,"5,244.78",0.3,1000,TRUE,"5,277.21","6,860.37",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
77112027-549SC04,SC04,77112027-549,16,5,USD,"9,159.04",0.25,1000,TRUE,"9,159.43","11,449.29",FABIO,90,0,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
77112027-549SP13,SP13,77112027-549,16,1,USD,"9,399.14",0.25,1000,TRUE,"9,435.04","11,793.80",FABIO,90,0,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
66112101-10SC04,SC04,66112101-10,784,5,USD,"3,679.30",0.15,1000,TRUE,"3,679.70","4,231.65",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112101-10SP13,SP13,66112101-10,784,1,USD,"3,798.65",0.25,1000,TRUE,"3,798.26","4,747.82",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112101-41SP13,SP13,66112101-41,782,1,USD,"4,045.33",0.25,1000,TRUE,"4,031.99","5,039.99",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
77122144-10SC04,SC04,77122144-10,3926,5,USD,"7,089.56",0.15,1000,TRUE,"7,344.73","8,446.44",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
77122144-10SP13,SP13,77122144-10,3926,1,USD,"7,338.20",0.25,1000,TRUE,"8,149.60","10,187.00",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
77122144-41SP13,SP13,77122144-41,3925,1,USD,"7,628.60",0.25,1000,TRUE,"8,466.79","10,583.48",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
66112042-524SP13,SP13,66112042-524,5808,1,USD,"9,035.29",0.2,1000,TRUE,"8,750.16","10,500.19",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
77122096-10SC04,SC04,77122096-10,1504,5,USD,"5,942.16",0.2,1000,TRUE,"5,942.58","7,131.10",FABIO,90,175,,,Seguir pol?tica,REGULAR,FALSE
77122096-10SP13,SP13,77122096-10,1504,1,USD,"6,068.21",0.2,1000,TRUE,"6,108.12","7,329.74",FABIO,90,175,,,Seguir pol?tica,REGULAR,FALSE
77122096-41SP13,SP13,77122096-41,1503,1,USD,"6,314.89",0.2,1000,TRUE,"6,330.05","7,596.06",FABIO,90,175,,,Seguir pol?tica,REGULAR,TRUE
77122097-10SC04,SC04,77122097-10,384,5,USD,"5,358.63",0.3,1000,TRUE,"5,359.03","6,966.74",FABIO,90,175,,,Seguir pol?tica,REGULAR,FALSE
77122097-10SP13,SP13,77122097-10,384,1,USD,"5,669.57",0.3,1000,TRUE,"5,706.07","7,417.89",FABIO,90,200,,,Seguir pol?tica,REGULAR,FALSE
77122097-41SP13,SP13,77122097-41,385,1,USD,"5,899.70",0.25,1000,TRUE,"5,973.88","7,467.35",FABIO,115,0,,,Seguir pol?tica,DESCONTINUADO,TRUE
77122098-299SP13,SP13,77122098-299,5845,1,USD,"52,014.58",0.3,1000,TRUE,"45,133.82","58,673.97",FABIO,90,25,,,Seguir pol?tica,REGULAR,FALSE
77122138-145SC04,SC04,77122138-145,2355,5,USD,"11,638.04",0.3,1000,TRUE,"11,638.44","15,129.97",FABIO,90,195,,,Seguir pol?tica,REGULAR,FALSE
77122138-145SP13,SP13,77122138-145,2355,1,USD,"11,977.85",0.3,1000,TRUE,"11,978.50","15,572.05",FABIO,90,195,,,Seguir pol?tica,REGULAR,FALSE
66112123-26SC04,SC04,66112123-26,252,5,USD,"26,037.02",0.15,1000,TRUE,"26,037.42","29,943.03",FABIO,100,170,,,Seguir pol?tica,REGULAR,FALSE
66112123-26SP13,SP13,66112123-26,252,1,USD,"28,417.37",0.15,1000,TRUE,"28,576.31","32,862.76",FABIO,100,170,,,Seguir pol?tica,REGULAR,FALSE
66112123-41SP13,SP13,66112123-41,251,1,USD,"30,463.78",0.15,1000,TRUE,"30,803.76","35,424.33",FABIO,100,16.9,,,Seguir pol?tica,REGULAR,TRUE
77122054-10SC04,SC04,77122054-10,2466,5,USD,"2,308.26",0.3,1000,TRUE,"2,308.65","3,001.25",FABIO,100,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
77122054-10SP13,SP13,77122054-10,2466,1,USD,"2,196.72",0.4,1000,TRUE,"2,211.21","3,095.70",FABIO,100,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
77122055-10SC04,SC04,77122055-10,2469,5,USD,"2,676.27",0.3,1000,TRUE,"2,676.66","3,479.66",FABIO,100,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
77122055-10SP13,SP13,77122055-10,2469,1,USD,"2,455.42",0.3,1000,TRUE,"2,471.02","3,212.33",FABIO,100,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
77122056-210SC04,SC04,77122056-210,901,5,USD,"4,233.65",0.3,1000,TRUE,"4,234.05","5,504.26",FABIO,100,25,,,Seguir pol?tica,REGULAR,FALSE
77122056-210SP13,SP13,77122056-210,901,1,USD,"4,536.29",0.3,1000,TRUE,"4,562.97","5,931.86",FABIO,100,25,,,Seguir pol?tica,REGULAR,FALSE
66112103-75SC04,SC04,66112103-75,1258,5,USD,"12,762.87",0.2,1000,TRUE,"12,763.27","15,315.92",FABIO,100,170,,,Seguir pol?tica,REGULAR,FALSE
66112103-75SP13,SP13,66112103-75,1258,1,USD,"13,558.35",0.2,1000,TRUE,"13,653.42","16,384.10",FABIO,100,170,,,Seguir pol?tica,REGULAR,FALSE
66112109-10SC04,SC04,66112109-10,4718,5,USD,"4,430.37",0.2,1000,TRUE,"4,430.77","5,316.92",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
66112109-10SP13,SP13,66112109-10,4718,1,USD,"4,593.97",0.2,1000,TRUE,"4,636.87","5,564.25",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
66112109-41SP13,SP13,66112109-41,4716,1,USD,"4,860.82",0.2,1000,TRUE,"4,934.69","5,921.62",FABIO,100,19.9,,,Seguir pol?tica,REGULAR,TRUE
66112099-10SC04,SC04,66112099-10,4745,5,USD,"5,613.26",0.2,1000,TRUE,"5,613.66","6,736.39",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
66112099-10SP13,SP13,66112099-10,4745,1,USD,"5,812.27",0.2,1000,TRUE,"5,898.04","7,077.65",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
66112099-41SP13,SP13,66112099-41,4743,1,USD,"6,051.30",0.2,1000,TRUE,"6,241.32","7,489.58",FABIO,100,19.9,,,Seguir pol?tica,REGULAR,TRUE
77112004-10SC04,SC04,77112004-10,4747,5,USD,"4,932.72",0.3,1000,TRUE,"4,933.12","6,413.06",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
77112004-10SP13,SP13,77112004-10,4747,1,USD,"5,215.90",0.3,1000,TRUE,"5,293.37","6,881.38",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
77112003-7SC04,SC04,77112003-7,953,5,USD,"12,708.27",0.2,1000,TRUE,"12,708.67","15,250.40",FABIO,100,180,,,Seguir pol?tica,REGULAR,FALSE
77112003-7SP13,SP13,77112003-7,953,1,USD,"13,207.76",0.2,1000,TRUE,"13,343.32","16,011.98",FABIO,100,180,,,Seguir pol?tica,REGULAR,FALSE
66112098-10SC04,SC04,66112098-10,1334,5,USD,"10,782.42",0.2,1000,TRUE,"10,782.82","12,939.38",FABIO,100,190,,,Seguir pol?tica,REGULAR,FALSE
66112098-10SP13,SP13,66112098-10,1334,1,USD,"11,484.71",0.2,1000,TRUE,"11,698.80","14,038.56",FABIO,100,190,,,Seguir pol?tica,REGULAR,FALSE
66112102-10SC04,SC04,66112102-10,791,5,USD,"5,828.22",0.25,1000,TRUE,"5,828.62","7,285.77",FABIO,100,200,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
66112102-10SP13,SP13,66112102-10,791,1,USD,"6,095.09",0.25,1000,TRUE,"6,133.33","7,666.67",FABIO,100,200,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
66112102-41SP13,SP13,66112102-41,790,1,USD,"6,345.15",0.3,1000,TRUE,"6,502.92","8,453.79",FABIO,100,200,,,Seguir pol?tica,CONTRA PEDIDO,TRUE
66112111-10SC04,SC04,66112111-10,5369,5,USD,"7,247.91",0.2,1000,TRUE,"7,248.31","8,697.97",FABIO,100,185,,,Seguir pol?tica,REGULAR,FALSE
66112111-10SP13,SP13,66112111-10,5369,1,USD,"7,555.14",0.2,1000,TRUE,"7,607.10","9,128.52",FABIO,100,185,,,Seguir pol?tica,REGULAR,FALSE
66112111-41SP13,SP13,66112111-41,5367,1,USD,"7,826.81",0.3,1000,TRUE,"8,015.74","10,420.47",FABIO,100,18.4,,,Seguir pol?tica,REGULAR,TRUE
66112130-10SC04,SC04,66112130-10,4715,5,USD,"9,469.24",0.3,1000,TRUE,"9,469.63","12,310.52",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
66112130-10SP13,SP13,66112130-10,4715,1,USD,"9,812.67",0.3,1000,TRUE,"9,879.78","12,843.72",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
77122073-10SC04,SC04,77122073-10,2342,5,USD,"7,237.70",0.15,1000,TRUE,"7,238.09","8,323.81",FABIO,100,200,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
77122073-10SP13,SP13,77122073-10,2342,1,USD,"7,487.82",0.15,1000,TRUE,"7,580.73","8,717.84",FABIO,100,200,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
77122077-10SC04,SC04,77122077-10,1508,5,USD,"5,937.43",0.25,1000,TRUE,"5,937.82","7,422.28",FABIO,100,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
77122077-10SP13,SP13,77122077-10,1508,1,USD,"6,091.57",0.25,1000,TRUE,"6,149.65","7,687.06",FABIO,100,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
77122076-10SC04,SC04,77122076-10,1509,5,USD,"10,687.94",0.2,1000,TRUE,"10,688.33","12,826.00",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
77122076-10SP13,SP13,77122076-10,1509,1,USD,"11,037.52",0.2,1000,TRUE,"11,165.89","13,399.06",FABIO,100,200,,,Seguir pol?tica,REGULAR,FALSE
66112117-315SC04,SC04,66112117-315,4213,5,USD,"6,715.61",0.25,1000,TRUE,"6,716.01","8,395.01",FABIO,100,185,,,Seguir pol?tica,REGULAR,FALSE
66112117-315SP13,SP13,66112117-315,4213,1,USD,"7,150.42",0.25,1000,TRUE,"7,210.25","9,012.82",FABIO,100,185,,,Seguir pol?tica,REGULAR,FALSE
66112105-36SC04,SC04,66112105-36,1300,5,USD,"8,449.19",0.1,1000,TRUE,"8,449.59","9,294.55",FABIO,100,50,,,Seguir pol?tica,REGULAR,FALSE
66112105-36SP13,SP13,66112105-36,1300,1,USD,"8,751.68",0.1,1000,TRUE,"8,842.31","9,726.54",FABIO,100,50,,,Seguir pol?tica,REGULAR,FALSE
66112105-53SP13,SP13,66112105-53,1299,1,USD,"9,075.87",0.1,1000,TRUE,"9,306.25","10,236.87",FABIO,100,50,,,Seguir pol?tica,REGULAR,TRUE
